Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
s81,r122,APPROVED,Not Applicable,2024-07-04T18:27:20.999000Z,2024-07-04T18:29:25.687000Z,2024-07-14T00:10:41.553000Z,2024-07-04T18:31:04.748880Z,125,CB1VAZXU,4437,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
s82,r74,APPROVED,Not Applicable,2024-07-05T11:44:41.859000Z,2024-07-05T11:49:15.887000Z,2024-07-05T11:49:16.689000Z,2024-07-05T11:49:16.537470Z,275,CB1VAZXU,103,24,Male,White,United States,United States,United States,English,No,Full-Time
s83,r66,APPROVED,Not Applicable,2024-07-05T12:22:58.729000Z,2024-07-05T12:27:29.708000Z,2024-07-05T12:28:40.028000Z,2024-07-05T12:28:31.660157Z,271,CB1VAZXU,3710,42,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
s84,r106,APPROVED,Not Applicable,2024-07-06T10:50:33.133000Z,2024-07-06T10:55:44.352000Z,2024-07-06T10:57:21.978000Z,2024-07-06T10:57:19.291281Z,312,CB1VAZXU,62,23,Male,White,United States,United States,United States,English,Yes,Part-Time
s85,r38,APPROVED,Not Applicable,2024-07-06T17:21:32.604000Z,2024-07-06T17:25:05.926000Z,2024-07-06T17:25:08.995000Z,2024-07-06T17:25:06.640788Z,214,CB1VAZXU,139,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s86,r45,APPROVED,Not Applicable,2024-07-08T11:50:06.439000Z,2024-07-08T11:54:58.511000Z,2024-07-08T11:55:32.107000Z,2024-07-08T11:55:30.317165Z,293,CB1VAZXU,1242,50,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
s87,r75,APPROVED,Not Applicable,2024-07-08T12:01:51.649000Z,2024-07-08T12:07:17.547000Z,2024-07-08T12:07:18.528000Z,2024-07-08T12:08:14.188896Z,326,CB1VAZXU,1447,51,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s88,r119,APPROVED,Not Applicable,2024-07-08T13:00:12.792000Z,2024-07-08T13:03:04.402000Z,2024-07-08T13:03:05.050000Z,2024-07-08T13:03:12.907924Z,172,CB1VAZXU,98,40,Male,White,United States,United States,United States,English,No,Full-Time
s89,r17,APPROVED,Not Applicable,2024-07-10T14:27:41.945000Z,2024-07-10T14:32:01.812000Z,2024-07-10T14:32:05.641000Z,2024-07-10T14:32:03.231340Z,260,CB1VAZXU,5131,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
s90,r89,APPROVED,Not Applicable,2024-07-14T11:56:47.482000Z,2024-07-14T12:08:22.797000Z,2024-07-14T12:10:11.480000Z,2024-07-14T12:10:09.662626Z,696,CB1VAZXU,259,55,Female,White,United States,United States,United States,English,No,Full-Time
s91,r114,RETURNED,Not Applicable,2024-07-02T17:02:57.349000Z,,,,,,159,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
s92,r18,TIMED-OUT,Not Applicable,2024-07-02T20:02:50.197000Z,,,,1573266,,119,28,Female,Mixed,United States,United States,United States,English,No,Full-Time
s93,r62,RETURNED,Not Applicable,2024-07-13T02:17:54.105000Z,,,,,,1095,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
